test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,gpt-5-2,degen_all,0,0,1,1,1,1,0,1,1,5.13226182693e-08,6.35899558038e-08,9.16400568683e-06,0.378717864845,0.380116262309,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/gpt-5-2/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.013065084877022176,1.0000000000000002e-06,0.8570487874448978,1.2812638257329085,-0.1612805905386537,4.221012375145402,7.720981244866383,0.6307152957026623,2.3509751596140154,3.522529150772074]",P**2*c0*sin(c1*t + c2) + P*c3*sin(c1*t + c2) + c4*tanh(c5*t + c6) + c7*log(c8*Abs(P) + c9),0,0,1,0,0,1,0,0,1
BPG1,gpt-5-2,degen_all,0,0,0,0,0,0,0,0,0,1.56418545364e-09,1.59757601283e-09,1.11986390913e-06,0.00443776250945,8.18556777332e-05,0,1,1,1,1,1,0,1,1,logs/llm-srbench/degen_all/gpt-5-2/BPG1.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.7995918130442066,64.71855213716621,0.7134621857758224,-0.054173113562089585,-1.4564947938743418,2.72797362223252,8.0106781103815,5.219658373565829,7.307000255670096,0.022032885637373715]",P*c0/(c1 + c2*exp(c3*t)) + P*c4/(c1 + c2*exp(c3*t)) + P*c5/(c1 + c2*exp(c3*t)) + P*c6*exp(c3*t)/(c1 + c2*exp(c3*t)) + P*c7*exp(c3*t)/(c1 + c2*exp(c3*t)) + P*c8*exp(c3*t)/(c1 + c2*exp(c3*t)) + c9*t/(c1 + c2*exp(c3*t)),0,1,1,1,1,1,0,1,1
BPG2,gpt-5-2,degen_all,0,1,1,1,1,0,1,0,1,6.19368956558e-08,6.7700900585e-08,2.80545047371e-08,0.866863932462,0.012181072747,0,0,0,0,0,1,0,0,0,logs/llm-srbench/degen_all/gpt-5-2/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.25719689426487574,0.7218466234306237,1.5288253008980093,-4.238610878487556,-9.973823229957455,0.9978774079245339,14.332068254402547]",P*c0*cos(c1*t + c2) + P*c3 + P*c4 + P**c5*c6,0,1,1,1,1,1,0,1,1
BPG3,gpt-5-2,degen_all,0,0,0,1,1,0,0,0,0,9.70506981616e-12,1.07702110979e-11,0.228580036735,0.461720569778,0.471672147118,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/gpt-5-2/BPG3.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.008545407408550488,-0.3821309274517171,0.653629094471477,-0.8450694837036208,-1.1587917534008065,1.3437740179858244,3.964039213275891e-06,2.3686999864231777]",P**3*c0 + P**2*c1 + P**2*c2 + P*c3 + c4 + c5*log(P*c6 + c7),0,0,0,0,0,0,0,0,0
BPG4,gpt-5-2,degen_all,0,0,0,0,0,0,0,0,0,2.23364369362e-07,2.45290733677e-07,0.00163438060808,0.455069110192,0.0339877125351,0,0,0,0,0,1,0,0,0,logs/llm-srbench/degen_all/gpt-5-2/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[1.5593575225774239,-1.5629156000116706,0.345477869297158,-2.502080514237649,-34.5992638858537,-2.513799123337131,34.504338533480365,0.027573506458093196,-0.184846916243568]",P**2*c0 + P**2*c1 + P*c2 + P**c3*c4 + P**c5*c6 + c7*exp(c8*t),0,0,1,0,0,1,0,0,1
BPG5,gpt-5-2,degen_all,0,1,1,1,1,1,1,1,1,1.82957077133e-13,1.54397580211e-13,3.06537213954e-09,0.0369350520309,0.0199789979663,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_all/gpt-5-2/BPG5.txt,,?,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[1.5447562905910897,-1.555703011080308,1.041967684182688,-0.3865500044569508,-0.00037469987491538904,-0.07701938594142366,-0.7917726142669106,0.0023576736450236268,-0.01632506562867198]",P**2*c0 + P**2*c1 + P*c2 + P**c3*c4*exp(P*c5) + P**c6*c7 + c8,1,1,1,1,1,1,1,1,1
BPG6,gpt-5-2,degen_all,0,1,1,1,1,1,1,1,1,1.39391688179e-12,3.15885089985e-12,2.34505891062e-07,0.0877937475733,0.0501084626988,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_all/gpt-5-2/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.6682730695152794,0.8564607200941038,-7.284884156618575,-0.0012027550520959237,-0.00015003006674349048,-0.00015554602785635481,-0.184846916243568,1.8456818578764553,-1.933877621275154e-05,0.12033461429558727]",P*P**c0*c1 + P*c2 + c3*exp(c4*t) + c5*exp(c6*t)/t**5 + c7*exp(c8*t)*log(P*c9 + 1),0,1,1,0,1,1,0,1,1
BPG7,gpt-5-2,degen_all,0,0,0,1,1,0,0,0,0,1.27947707299e-05,1.02719061807e-05,0.000526902650396,4.14811734882,21.8825452725,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/gpt-5-2/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.00767314178876948,-0.4692414813457441,0.5656710382143401,2.635560936349826,-2.4525683641097595,-4.777273247773561e-05,0.5784140101581577]",P**3*c0 + P**2*c1 + P**2*c2 + P*c3 + P*c4*exp(P*c5) + c6,0,0,0,0,0,0,0,0,0
BPG8,gpt-5-2,degen_all,0,0,1,1,1,0,0,1,1,1.58936795746e-10,3.07794682817e-10,8.30286611162e-08,0.0122328438331,0.0404044819691,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_all/gpt-5-2/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[1.5398365610882898,-1.5651744701599208,2.1150428643293133,10.903863649106077,8.886371900624681,-0.019904779739255564,2.59299748211982,0.49053471776176566,1.0457505040703132,-1.532135887904451]",P**2*c0 + P**2*c1 + P*c2 + P*c3/(P*c4 + 1) + P*c5*log(P*c6 + 1) + c7*tanh(c8*t + c9),0,1,1,1,1,1,0,1,1
BPG9,gpt-5-2,degen_all,0,1,1,1,1,0,1,1,1,2.59331558533e-07,2.2086424338e-07,7.8137355558e-06,1.20713976779,0.173710069753,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/gpt-5-2/BPG9.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.016269392006893715,-2.314079803874397,-1.3678761369868102,3.8578452977351603,-2.1027671544979905,2.1106393777008465,-0.006337218219143172]",P**3*c0 + P**2*c1 + P**2*c2 + P**2*c3 + P*c4 + P*c5 + c6,0,0,1,0,0,1,0,0,1
