test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,llama3-1-8b,full,0,0,0,1,1,1,1,1,1,0.000149518508627,0.000160909891836,0.317365815616,96.4829993895,31.8188185874,0,0,0,0,0,0,0,0,0,logs/llm-srbench/full/llama3-1-8b/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4,"[-0.022749123440311114,64.7185836791992,-101.52020687337563,-0.706219473560816,0.003203497779838399]",(P**(1/3)*c0*(c1 + t) + (P + c2)*(P*c3 + c4*t*(P + c2)))/(c1 + t),0,0,0,0,0,0,0,0,0
BPG1,llama3-1-8b,full,0,0,1,1,1,1,1,1,1,5.17298527661e-15,5.29831240182e-15,6.66065189379e-13,1.13778415054e-07,1.13065309684e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/full/llama3-1-8b/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.0037131763714816565,-0.03365735800610223,0.6740488319254264,11.727489488970585,0.03197350725883882,0.3156058574096926,-0.05405074143847177,0.0021712019680118497,-4.214083157859337,0.23702948861732281]",(c0*t + c1 + (c2*t + c3)*(P*c4 + P*c5*exp(c6*t) + c7*exp(c8/(c9*t + 1))))/(c2*t + c3),1,1,1,1,1,1,1,1,1
BPG2,llama3-1-8b,full,0,1,1,1,1,1,1,1,1,4.35320404552e-05,4.35776689766e-05,6.29427237e-05,27.9952455818,1.28637433567,0,0,0,0,0,0,0,0,0,logs/llm-srbench/full/llama3-1-8b/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4,"[0.05398299989754249,-0.04331650970672886,4.999999999999999,0.2544150196628469,0.721862319077215]",P*(c0*exp(c1*t) + 1)*(c0*log(c2*exp(c1*t) + 1) + c3*sin(c4*t)),0,0,0,0,0,1,0,0,0
BPG3,llama3-1-8b,full,0,0,0,0,0,0,0,0,0,2.35500098562e-12,3.19444580416e-12,0.211679731134,0.436518931224,0.446470508564,0,0,0,0,0,0,0,0,0,logs/llm-srbench/full/llama3-1-8b/BPG3.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4,"[-0.0019007649145115447,6.31482247574279,-94.36981109115578,94.36981116389866,-0.07587072459897999]",P**3*c0 + c1*Abs(P) + c2 + c3*exp(P*c4),0,0,0,0,0,0,0,0,0
BPG4,llama3-1-8b,full,1,1,1,1,1,1,1,1,1,5.20103965287e-14,5.34692331164e-14,5.62433468689e-07,0.0110899513914,0.00106412980814,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/llama3-1-8b/BPG4.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4,"[-0.0035590465616542003,0.2591785161315514,-0.086392823959993,-0.7618712550269674,0.7037347991244981]",P*(P*c0 + c1 + c2*tanh(P*c3 + c4)),1,1,1,1,1,1,1,1,1
BPG5,llama3-1-8b,full,0,0,0,1,1,1,1,1,1,1.82044192513e-13,1.5356654456e-13,3.06447639139e-09,0.036859681131,0.0200190072571,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/llama3-1-8b/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.010946886161196783,1.041986416693137,0.017159550479609684,0.004464584598977322,4.451915928684753,0.007521587831831211,0.222512193108785,0.22160865976685926,1.3578780494982663]",P*(P*c0 + c1) + c2*sin(P*c3 + c4) + c5*log((P + c6*(P*c7 + c8))/P),1,1,1,1,1,1,1,1,1
BPG6,llama3-1-8b,full,0,0,0,1,1,1,1,1,1,1.0626331991e-15,8.41788741334e-15,4.49893003278e-09,0.00661504652444,0.007462421861,0,1,1,0,1,1,0,1,1,logs/llm-srbench/full/llama3-1-8b/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.8578875055779992,-7.111955444223231,-0.08950159682929291,0.05781461276603444,0.7669726220689167,1.8651645586190364,0.19253740768819333,0.5435968413174317,0.584722406008703]",P**(1/3)*c0 + P*c1 + c2 + c3*cos(P*c4 + c5) + c6*sin(P*c7 + c8),1,1,1,1,1,1,1,1,1
BPG7,llama3-1-8b,full,0,0,1,1,1,1,1,1,1,2.15041166872e-10,2.02752968805e-10,2.79954245293e-08,0.0169812886781,0.1055385893,0,0,1,0,0,0,0,0,0,logs/llm-srbench/full/llama3-1-8b/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.026166857093548792,-2.9005593885504237,-0.07307051650289771,6.190716082770334,-6.355957736771006,0.15612392397377517,-0.2940829942562915,1.4032879254371162,-0.16007546173093834,-5.998668139910666]",(P*c0 + 1)*(c1*exp(P*c2) + 1)*(P + c3 + c4*exp(P*c5) + c6*log(P*c7 + 1) + c8*exp(c9/P)),1,1,1,0,1,1,0,1,1
BPG8,llama3-1-8b,full,0,1,1,1,1,1,1,1,1,6.82187247197e-12,1.29170907557e-11,7.48061938987e-09,0.0161271919166,0.058381950357,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/llama3-1-8b/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-2.564615778434963e-09,6.091316756285558,-0.490214065803116,0.04538295835579387,-0.025400679347700208,-19.346866960952976,0.09818543332586034,0.022534216899395436]",(c0*t - 1)*((P + c1)*(P*c2 + c3) + (c0*t - 1)*(P*c4*(P + c1)*(P + c5) + c6 + (P + c1)*(P**(1/3) + P + c7)))/(P + c1),1,1,1,1,1,1,1,1,1
BPG9,llama3-1-8b,full,0,1,1,1,1,0,1,1,1,7.92242197785e-13,6.16231916962e-13,3.3545818426e-09,0.0168963848936,0.00518747882738,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/llama3-1-8b/BPG9.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.033166844179679376,-0.5065590738932794,0.37606414575755154,0.03724860655011207,26.228957311764244,0.03294817462567313]",P*(P**2*c0 + P*c1 + P*c2*log(P*c3 + 1) + c4*log(P*c5 + 1))/2,1,1,1,1,1,1,1,1,1
