test_case,model,task,SA@50,SA@1,SA@5,SA@10,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,ground_truth,gt,1,1,1,1,1,,,,,1.53915887137e-13,1.32042720654e-13,1.51515009828e-09,0.0167997178417,0.00725388712115,0,0,1,0,1,1,0,0,1,datasets/llm-srbench/gt_expressions.csv,,1,ground_truth_recomputed,ground_truth_expression,c0;c1;c2;c3;c4,"[0.9539969835279999,1.0,96.90688297671034,0.9539969835279999,0.333333333333333]",c0*(c1 - P/c2)*P + c3*P**c4,1,1,1,1,1,1,1,1,1
BPG1,ground_truth,gt,1,1,1,1,1,,,,,5.18024000756e-15,5.33689254436e-15,6.46197120875e-13,1.11423831786e-07,1.13098040514e-07,1,1,1,1,1,1,1,1,1,datasets/llm-srbench/gt_expressions.csv,,1,ground_truth_recomputed,ground_truth_expression,c0;c1;c2;c3;c4;c5,"[0.3156057016002752,0.05405074842498068,0.3156057016002752,2.0,9.870854086995406,1.0]",c0*P*exp(-c1*t) + c2*P**c3/(c4*P + c5),1,1,1,1,1,1,1,1,1
BPG2,ground_truth,gt,1,1,1,1,1,,,,,6.20350650078e-13,5.07228674026e-13,6.68748329731e-13,0.00139523073047,3.18827479774e-05,0,1,1,1,1,1,0,1,1,datasets/llm-srbench/gt_expressions.csv,,1,ground_truth_recomputed,ground_truth_expression,c0;c1;c2;c3,"[0.2569297861044923,0.7218439642922193,0.1149290460350705,0.03038461976781442]",c0*P*sin(c1*t) + c2*P*exp(-c3*t),1,1,1,1,1,1,1,1,1
BPG3,ground_truth,gt,1,1,1,1,1,,,,,3.14147888384e-12,4.4173204581e-12,0.280460974586,0.509261838033,0.519213415373,0,0,0,0,0,0,0,0,0,datasets/llm-srbench/gt_expressions.csv,,1,ground_truth_recomputed,ground_truth_expression,c0;c1;c2;c3;c4;c5;c6;c7,"[0.8450821034088298,1.0,5.115386454523557,1.0,34.43886242377677,0.8450821034088298,1.0,0.09687266473516928]",c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*(c6 - exp(-c7*P))*P,0,0,0,0,0,0,0,0,0
BPG4,ground_truth,gt,1,1,1,1,1,,,,,5.20395783596e-14,5.36036715838e-14,5.62288960278e-07,0.0112743078514,0.00105099094115,0,0,1,0,1,1,0,0,1,datasets/llm-srbench/gt_expressions.csv,,1,ground_truth_recomputed,ground_truth_expression,c0;c1;c2;c3;c4;c5;c6,"[0.1727856699554779,1.0,48.5483027446097,0.1727856699554779,1.0,1.523742359575992,0.9236923548638324]",c0*(c1 - P/c2)*P + c3*P/(c4 + exp(-c5*(-c6 + P))),1,1,1,1,1,1,1,1,1
BPG5,ground_truth,gt,1,1,1,1,1,,,,,1.8206778161e-13,1.53362228204e-13,3.06554186675e-09,0.0370154032752,0.0199363790785,0,0,1,0,0,1,0,0,1,datasets/llm-srbench/gt_expressions.csv,,1,ground_truth_recomputed,ground_truth_expression,c0;c1;c2;c3;c4;c5;c6,"[0.9198344660444582,1.0,84.0283518630852,0.9198344660444582,2.0,7.531475575495239,1.0]",c0*(c1 - P/c2)*P + c3*P**c4/(c5*P + c6),1,1,1,1,1,1,1,1,1
BPG6,ground_truth,gt,1,1,1,1,1,,,,,1.26128413666e-15,6.20267604704e-15,4.49624711313e-09,0.00655069587463,0.00739776501169,0,1,1,0,1,1,0,1,1,datasets/llm-srbench/gt_expressions.csv,,1,ground_truth_recomputed,ground_truth_expression,c0;c1;c2;c3;c4;c5;c6;c7,"[6.216849410245645,1.412751397641697,0.8578822735168387,1.0,79.20259671838578,0.8578822735168387,0.333333333333333,0.8578822735168387]",-c0*c1*P + c2*(c3 - P/c4)*P + c5*P**c6 + c7*P,1,1,1,1,1,1,1,1,1
BPG7,ground_truth,gt,1,1,1,1,1,,,,,3.77732110039e-13,2.62078579443e-13,5.38779651779e-09,0.00614929531698,0.00454585612144,0,1,1,0,1,1,0,1,1,datasets/llm-srbench/gt_expressions.csv,,1,ground_truth_recomputed,ground_truth_expression,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.7213553457664288,1.0,6.65110350541817,1.0,13.53809258569891,0.7213553457664288,1.0,13.53809258569891,0.7213553457664288,0.333333333333333]",c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*(c6 - P/c7)*P + c8*P**c9,1,1,1,1,1,1,1,1,1
BPG8,ground_truth,gt,1,1,1,1,1,,,,,4.83904577861e-13,5.41662018296e-13,6.78454449143e-09,0.0132860123949,0.0436719725231,0,0,1,0,0,1,0,0,1,datasets/llm-srbench/gt_expressions.csv,,1,ground_truth_recomputed,ground_truth_expression,c0;c1;c2;c3;c4;c5,"[0.9909642091509507,1.0,39.01184604772507,0.9909642091509507,0.333333333333333,0.9909642091509507]",c0*(c1 - P/c2)*P + c3*P**c4 + c5*P,1,1,1,1,1,1,1,1,1
BPG9,ground_truth,gt,1,1,1,1,1,,,,,7.93245929296e-13,6.14120521434e-13,3.34814607466e-09,0.0160349252637,0.00507805963087,0,0,1,0,1,1,0,0,1,datasets/llm-srbench/gt_expressions.csv,,1,ground_truth_recomputed,ground_truth_expression,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10,"[0.1699888096710614,1.0,1.047284367025464,1.0,10.21054515632004,0.1699888096710614,1.0,10.21054515632004,0.1699888096710614,1.0,0.09709294493863778]",c0*(-c1 + P/c2)*(c3 - P/c4)*P + c5*(c6 - P/c7)*P + c8*(c9 - exp(-c10*P))*P,1,1,1,1,1,1,1,1,1
