test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,deepseek-v4-pro,full,1,1,1,1,1,1,1,1,1,1.53201471917e-13,1.31920207039e-13,1.52367471937e-09,0.0163865766539,0.00676762754117,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/deepseek-v4-pro/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[0.9539973957133351,-0.009844470654560318,0.9539969502520548,-5.681719903474313e-07,9.409734184257516e-08,-1.546489843901151,1.6319597296030952,3.8035449741173464]",P**(1/3)*c0 + P**2*c1 + P*c2 + c3 + c4*exp(c5*sin(c6*t + c7)),1,1,1,1,1,1,1,1,1
BPG1,deepseek-v4-pro,full,0,0,0,1,1,1,1,1,1,5.13653359842e-15,5.38671595471e-15,6.81899842058e-13,1.16671147745e-07,1.11082662668e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/full/deepseek-v4-pro/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.03197349556199293,0.3156057163522402,-0.05405074998462736,-1.1777676020136196e-09,0.10964207042681635,1.0305740609411842,0.9787101547006134,-0.0032393362081358694,0.001535087617027335,0.21436386789107187]",P*c0 + P*c1*exp(c2*t) + c3*exp(c4*t)*sin(P*c5 + c6) + c7 + c8*log(1 + c9/P),1,1,1,1,1,1,1,1,1
BPG2,deepseek-v4-pro,full,1,1,1,1,1,1,1,1,1,6.20091217822e-13,5.10324957264e-13,6.69062363926e-13,0.00138189449229,2.92537205001e-05,0,1,1,1,1,1,0,1,1,logs/llm-srbench/full/deepseek-v4-pro/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[6.026961939789347e-08,0.7184073476162733,4.989811309629533,0.11492904154358391,-0.030384618045920336,0.25692977599988676,0.7218439647228857,2.2618264568638795e-07]",P*c0*sin(c1*t + c2) + P*c3*exp(c4*t) + P*c5*sin(c6*t + c7),1,1,1,1,1,1,1,1,1
BPG3,deepseek-v4-pro,full,0,0,0,0,0,0,0,0,0,9.10029498182e-13,1.22371624444e-12,0.0817274373004,0.296006284734,0.305957862074,0,0,0,0,0,0,0,0,0,logs/llm-srbench/full/deepseek-v4-pro/BPG3.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[0.2715758614835753,-1.2751391076574483,0.013108199649192409,-2.60154499750863e-07,-0.003566328408069436,1.237233592441698,0.3475982959910955,1.723648263367764e-07]",P**2*c0 + P*c1 + P**c2*c3*t**c4 + c5*sin(P*c6 + c7),0,0,0,0,0,0,0,0,0
BPG4,deepseek-v4-pro,full,0,0,0,0,0,0,0,0,0,1.05722556288e-11,1.01981838761e-11,7.53848446748e-07,0.0160084109139,0.00140413505849,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/deepseek-v4-pro/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.0035590485106167654,0.3455715237766709,0.23399765665798072,-0.03236180760083761,3.085099813965087,866.2005031875062,4.234047370220589,-0.6066390392078476,0.05094678761351163,1.0670852031485425]",P**2*c0 + P*c1 + c2*exp(c3*t**c4) + c5/(P + c6)**5 + c7/(c8*exp(c9*t) + 1),1,1,1,0,1,1,0,1,1
BPG5,deepseek-v4-pro,full,0,1,1,1,1,1,1,1,1,1.81529900925e-13,1.53930911658e-13,3.06065106117e-09,0.0375909906132,0.0197842814559,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/deepseek-v4-pro/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.010946715605191866,1.3668805037202834e-09,22.26852857268456,6.545386532422018,1.5080487791042791,0.5476851871034629,1.0419665038196098,-0.016216206959087483,0.1327754777743443]",P**2*c0 + P**2*c1/(c2 + c3*sin(c4*t + c5)) + P*c6 + P*c7/(P + c8),1,1,1,1,1,1,1,1,1
BPG6,deepseek-v4-pro,full,1,1,1,1,1,1,1,1,1,8.99154754313e-16,6.91029741113e-15,4.51154793661e-09,0.00659792971597,0.00742334978554,0,1,1,0,1,1,0,1,1,logs/llm-srbench/full/deepseek-v4-pro/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.8578822141560587,-0.5424183718358209,4.749629914925563,45.33518012789588,-0.00020219563285453314,-7.067097687559436,-7.487041732600774e-09,2.3524669057835843,-2.198094149753439,3.6460237723439336e-09]",P**(1/3)*c0 + P**2*c1/(c2 + c3*exp(c4*t)) + P*c5 + c6*t/(P*c7 + c8) + c9/(P*c7 + c8),1,1,1,1,1,1,1,1,1
BPG7,deepseek-v4-pro,full,1,1,1,1,1,1,1,1,1,3.77099147088e-13,2.61967845496e-13,5.39048987827e-09,0.00609816721461,0.00457496080526,0,1,1,0,1,1,0,1,1,logs/llm-srbench/full/deepseek-v4-pro/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[0.7213554903878722,-0.008011208922537505,0.10845648701801514,-1.6601741617261748e-07,8.882582858624543e-06,4.9939264459130746,0.4489058260315087,-14.573253547439053]","P**(1/3)*c0 + P**3*c1 + P**2*c2 + c3 + c4*sin(c5 + c6*t)*Max(0, P + c7)",1,1,1,1,1,1,1,1,1
BPG8,deepseek-v4-pro,full,0,0,0,1,1,1,1,1,1,4.82630077823e-13,5.43992155779e-13,6.74888719589e-09,0.0136002295215,0.0443730673852,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/deepseek-v4-pro/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[0.9909643911372503,-0.02540162273717749,-1.4189587243398688e-12,3.3211799483674143,0.2031187074540283,0.9504898831271251,1.981928379492914]",P**(1/3)*c0 + P**2*c1 + P**2*c2/(c3*sin(c4*t + c5) + 1) + P*c6,1,1,1,1,1,1,1,1,1
BPG9,deepseek-v4-pro,full,0,1,1,1,1,1,1,1,1,7.92366649343e-13,6.15403780511e-13,3.35414263959e-09,0.0168646869038,0.00518338912636,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/deepseek-v4-pro/BPG9.txt,step_best:20,,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.013922184105636462,5.759930652106569,0.031045273863118585,2.9993556957909897,-0.0007059072269733071,0.04467307779363654]",P**3*c0 + P*c1*log(P*c2 + 1) + P**c3*c4*log(P*c5 + 1),1,1,1,1,1,1,1,1,1
