test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,qwen3-6-27b,full,1,1,1,1,1,0,0,0,0,1.53825926778e-13,1.3243624916e-13,1.51676115487e-09,0.0165701916194,0.00735441076297,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/qwen3-6-27b/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4,"[0.9539974293055614,22.492072018561736,-0.009844470572262991,0.9539969371465065,-0.005275594479885795]",(P**(1/3)*c0*(P + 1)*(P + c1)**3 + P**3*c2*(P + c1)**3 + P**2*c2*(P + c1)**3 + P**2*c3*(P + c1)**3 + P*c3*(P + c1)**3 + P*c4*t + c4*t)/((P + 1)*(P + c1)**3),1,1,1,1,1,1,1,1,1
BPG1,qwen3-6-27b,full,0,0,0,1,1,0,0,0,0,5.1731468579e-15,5.29245945893e-15,6.70080847179e-13,1.1342920549e-07,1.13817342159e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/full/qwen3-6-27b/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.03216755196238357,9.576858690485963,2.9979733799394443,416.46243389003615,9.903298634720848,-0.0016594526012126281,0.031973502382234356,0.3156060389295567,-0.054050760911251695,0.004248190895341052]",(P*c0*(c1 + t)**3*(P*c2 + c3) + (P*c4 + 1)*(P*c5*(P*c2 + c3) + P*(c1 + t)**3*(c6 + c7*exp(c8*t))*(P*c2 + c3) + c9*(c1 + t)**3))/((c1 + t)**3*(P*c2 + c3)*(P*c4 + 1)),1,1,1,1,1,1,1,1,1
BPG2,qwen3-6-27b,full,1,1,1,1,1,0,0,0,0,6.20146094706e-13,5.09914341002e-13,6.6883387073e-13,0.00138077246039,2.93973606754e-05,0,1,1,1,1,1,0,1,1,logs/llm-srbench/full/qwen3-6-27b/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3,"[0.2569297840256584,0.7218439645659275,0.11492904144841903,-0.030384617991686427]",P*(c0*sin(c1*t) + c2*exp(c3*Abs(t))),1,1,1,1,1,1,1,1,1
BPG3,qwen3-6-27b,full,0,0,0,1,1,0,0,0,0,2.34595287755e-12,3.18308521635e-12,0.211244463827,0.435682070839,0.445633648179,0,0,0,0,0,0,0,0,0,logs/llm-srbench/full/qwen3-6-27b/BPG3.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.00838401304851832,-3.657812927339478,-29.313205624227884,0.19218392422779018,1.570795943933699,-0.17844140590959223]",P*c0*(P + c1)*(P + c2) + c3*cos(c4*exp(P*c5)),0,0,0,0,0,0,0,0,0
BPG4,qwen3-6-27b,full,0,0,0,0,0,0,0,0,0,1.71362456563e-12,1.88852206063e-12,5.68194185126e-07,0.0103891385624,0.00111608764688,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/qwen3-6-27b/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[4.764657812999387,12.390088281061962,-0.00355904629780821,0.3455713151449674,-0.11431077632800443,-0.010661167009417815,3.253786644819051,4.435338780152097,0.4016317559681024,0.0017086231718372422]",(P**5*(P**c0 + c1)*(P**2*c2 + P*c3 + c4*exp(c5*t**c6)) + P**c7*c8 + c9*t*(P**c0 + c1))/(P**5*(P**c0 + c1)),1,1,1,1,1,1,1,1,1
BPG5,qwen3-6-27b,full,1,1,1,1,1,0,0,0,0,1.82057575176e-13,1.53442393627e-13,3.06394360278e-09,0.0368220631325,0.0200389801558,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/qwen3-6-27b/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[-1.4043553263001505,95.18530879692953,86.60167232083447,11.499038356875575,-0.010946715523719749,99.17990382684324]",P*(c0*(P + c1) + (P*c2 + c3)*(P**2*c4 + c5))/((P + c1)*(P*c2 + c3)),1,1,1,1,1,1,1,1,1
BPG6,qwen3-6-27b,full,1,1,1,1,1,0,0,0,0,9.02959385601e-16,6.83102632575e-15,4.49638570772e-09,0.00655406165107,0.00740114236572,0,1,1,0,1,1,0,1,1,logs/llm-srbench/full/qwen3-6-27b/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[0.8578822059195449,1.076109351930738,-7.053607518606139,0.004520055620363382,-0.01083181008009136,0.6227195539901753,-0.004200368242909085]",(P**(1/3)*c0*(P*c1 - 1) + P*c2*(P*c1 - 1) + P*c3 + c4*(P + c5)**2*(P*c1 - 1) + c6)/(P*c1 - 1),1,1,1,1,1,1,1,1,1
BPG7,qwen3-6-27b,full,0,1,1,1,1,0,0,0,0,3.77490535299e-13,2.61852192501e-13,5.38896713673e-09,0.0061345295884,0.00455680740926,0,1,1,0,1,1,0,1,1,logs/llm-srbench/full/qwen3-6-27b/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[1.1005368338296422,-0.037887924029447934,3.876595239827063,0.12456056292161438,-0.3449782907170543,0.3912242901204924,-0.008011524026534872,0.1085218431245878,-0.014497314680756955,0.2366762049834439]",(P*c0*Abs(sqrt(P + 1)) + c1*(P*c2 + 1)*log(c3*exp(P*c4) + 1)*Abs(sqrt(P + 1)) + (P*c2 + 1)*(P*c5 + (P**3*c6 + P**2*c7 + P*c8 + c9)*Abs(sqrt(P + 1))))/((P*c2 + 1)*Abs(sqrt(P + 1))),1,1,1,1,1,1,1,1,1
BPG8,qwen3-6-27b,full,1,1,1,1,1,0,0,0,0,4.83562713477e-13,5.42928426406e-13,6.75917459567e-09,0.0135832093576,0.0443488623512,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/qwen3-6-27b/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.0054950854516793435,8.756430575089151,5.9108051005923175,0.38428947467520974,0.031073482774914774,-0.02540142667212188,1.9818062054211796,-0.01156729293498774,0.0024125603657949597,-0.03866928632554166]",(c0*(P*c1 + c2)*log(P*c3 + 1) + c4 + (P*c1 + c2)*(P**(1/3) + P**2*c5 + P*c6 + c7 + c8*exp(P*c9)))/(P*c1 + c2),1,1,1,1,1,1,1,1,1
BPG9,qwen3-6-27b,full,0,1,1,1,1,0,0,0,0,7.92244644822e-13,6.16337171997e-13,3.35464347741e-09,0.0169006157788,0.00518802766336,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/qwen3-6-27b/BPG9.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.015502732358177267,41.4079830876685,-320.71927061725836,-0.044036789116876425,320.7192706505758,-3147.9942476151605,0.017640257802624248]",P**3*c0 + P*c1 + c2*exp(c3*Abs(P)) + c4 + c5*log(P*c6 + 1),1,1,1,1,1,1,1,1,1
