benchmark,model,task,base_task,equation,matched,sa1_round,n_matched,n_located,max_steps,source,source_file
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK11,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK11.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK12,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK12.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK13,1,1,47,47,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK13.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK14,1,14,3,3,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK14.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK15,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK15.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK16,1,0,64,64,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK16.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK17,1,1,35,35,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK17.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK18,1,1,36,36,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK18.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK19,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK19.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK20,1,2,39,39,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK20.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK21,1,3,8,8,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK21.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK22,1,10,43,43,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK22.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK23,1,4,6,6,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK23.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK24,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK24.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK25,1,1,14,14,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK25.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK26,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK26.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci14,1,0,56,56,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci14.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci16,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci16.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci18,1,2,1,1,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci18.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci19,1,1,2,2,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci19.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci20,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci20.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci21,1,1,4,4,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci21.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci22,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci22.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci23,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci23.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci24,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci24.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,MatSci25,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/MatSci25.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK27,1,1,38,38,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK27.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK28,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK28.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK29,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK29.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK30,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK30.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK31,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK31.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK32,1,10,38,38,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK32.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK33,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/CRK33.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK34,1,1,29,29,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK34.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,CRK35,1,1,48,48,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/CRK35.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO23,0,no_match,0,0,30,no_match,logs/llm-srbench/degen_selector1/gpt-5-2/PO23.txt
llm-srbench,gpt-5-2,degen_selector1,degen_selector1,PO24,1,14,23,23,30,scan,logs/llm-srbench/degen_selector1/gpt-5-2/PO24.txt
