test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,no-llm,only_structure,0,1,1,1,1,0,0,0,0,1.53696013585e-13,1.31730467512e-13,1.53101838466e-09,0.0164457241293,0.00737048297658,0,0,1,0,1,1,0,0,1,logs/llm-srbench/only_structure/no-llm/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.009843986280771757,3.955047015426134e-08,0.3333319751314665,0.9540083302118718,-7.4512558732845265e-06,937129.6676058763,1.0179988379448205e-06,-4.012794080187991e-06]",P**2*c0 + P*c1*t + P**c2*c3 + c4 + c5*log(P*c6 + 1) + c7*t,1,1,1,1,1,1,1,1,1
BPG1,no-llm,only_structure,0,1,1,1,1,0,0,0,0,5.17391393275e-15,5.2984570852e-15,6.6066191393e-13,2.45904769949e-07,1.12326651494e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/only_structure/no-llm/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.31560582040597407,-0.0540507505802936,0.031973503095710676,-3.031126121738154e-07,0.7354858665881029,-0.0032352938323284746,-1.4524429773753271e-05,6.1880309540879415,0.0020502878594376526]",P*c0*exp(c1*t) + P*c2 + P*c3*t/(P + c4) + c5 + c6*t/(P*c7 + c4) + c8/(P*c7 + c4),1,1,1,1,1,1,1,1,1
BPG2,no-llm,only_structure,0,0,0,0,0,0,0,0,0,5.53267709499e-08,5.93474930149e-08,3.56006000435e-08,0.850501108414,0.00365914672657,0,0,0,0,1,1,0,0,0,logs/llm-srbench/only_structure/no-llm/BPG2.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.0056420745512956415,-0.9779892761452148,1.0000000000000002e-06,0.18594377004171084,-0.04783091024199192,3.100346406955634,0.721833055273368,0.0003242509635052673,0.0001472197234437212,4.487615908195903]",P*P**c0*c1/(P*c2 + c3) + P*c4*sin(c5 + c6*t)/(P*c2 + c3) + P/(P*c2 + c3) + P**c0*c7/(P*c2 + c3) + c8*sin(c6*t + c9)/(P*c2 + c3),0,1,1,1,1,1,0,1,1
BPG3,no-llm,only_structure,0,0,0,0,0,0,0,0,0,2.0344450815e-12,2.74743303803e-12,0.200281144849,0.404539974852,0.390044561982,0,0,0,0,0,0,0,0,0,logs/llm-srbench/only_structure/no-llm/BPG3.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[1.6093462399744283,0.010330905293787503,0.3434305896662678,1.6095952903308453,-2.548569019892746e-07,-0.04941731862122682,163.14010235382233,-0.09271467552213712,-28.01400977692748,-28.01329172311575]",P*c0/(P*c1 + c2) + P*c3/(P*c1 + c2) + c4*exp(c5*t) + c6*exp(P*c7) + c8/(P*c1 + c2) + c9/(P*c1 + c2),0,0,0,0,0,0,0,0,0
BPG4,no-llm,only_structure,0,0,0,0,0,0,0,0,0,3.16483833428e-10,2.85824847121e-10,0.00320439882068,0.260473248455,0.0565314287041,0,0,0,0,0,1,0,0,0,logs/llm-srbench/only_structure/no-llm/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.008607259208771537,3.6828692638767038,2.441336883399464,-0.003558814990742629,0.3454870452709715,27.15120100427308,-0.28989027479647267,-137.732012658678,0.048044622838158905,0.004473599103344685]",P**2*c0*(P + c1)**5/(P**5*t**2 + c2*(P + c1)**5) + P**2*c3*t**2*(P + c1)**5/(c2*(P + c1)**5 + t**2*(P + c1)**5) + P*c4*t**2*(P + c1)**5/(c2*(P + c1)**5 + t**2*(P + c1)**5) + P*(P + c1)**5/(c2*(P + c1)**5 + t**2*(P + c1)**5) + c5*t/(c2*(P + c1)**5 + t**2*(P + c1)**5) + c6*(P + c1)**5/(c2*(P + c1)**5 + t**2*(P + c1)**5) + c7*t/(P + c1)**5 + c8*t*(P + c1)**5/(c2*(P + c1)**5 + t**2*(P + c1)**5) + c9*t**2*(P + c1)**5/(P**5*t**2 + c2*(P + c1)**5),0,1,1,0,0,1,0,0,1
BPG5,no-llm,only_structure,1,1,1,1,1,0,0,0,0,1.82057813932e-13,1.53440869596e-13,3.06395810078e-09,0.0368234167715,0.0200382615675,0,0,1,0,0,1,0,0,1,logs/llm-srbench/only_structure/no-llm/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[-0.08245327626568125,7.532238859496772,0.9996807390872682,3.9187053815738357,3.9186919974180783,0.9194893930658391,6.343289882912326e-06]",P**3*c0/(P*c1 + c2) + P**2*c3/(P*c1 + c2) + P**2*c4/(P*c1 + c2) + P*c5/(P*c1 + c2) + c6/(P*c1 + c2),1,1,1,1,1,1,1,1,1
BPG6,no-llm,only_structure,1,1,1,1,1,0,0,0,0,1.23435922766e-15,6.75604579175e-15,4.49858548677e-09,0.00658768048831,0.00743478811586,0,1,1,0,1,1,0,1,1,logs/llm-srbench/only_structure/no-llm/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3,"[0.8578822281201973,-7.067097687447217,1.999952272963545,-0.010831881693408207]",P**(1/3)*c0 + P*c1 + P**c2*c3,1,1,1,1,1,1,1,1,1
BPG7,no-llm,only_structure,0,0,0,0,0,0,0,0,0,3.65378423906e-12,2.84481213217e-12,5.59225188096e-09,0.00561701184274,0.0103992966573,0,1,1,0,0,1,0,0,1,logs/llm-srbench/only_structure/no-llm/BPG7.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.6974190525889767,24.577611601963632,-29.737135468226047,0.09892517038046353,2.5691044502211744,-20.968495004193393,0.08667919084367258,-8.326414409179227,0.09412997255696494]",sqrt(P)*c0 + c1 + c2*sin(P*c3 + c4) + c5*log(P*c6 + 1) + c7*exp(P*c8),1,1,1,1,1,1,1,1,1
BPG8,no-llm,only_structure,1,1,1,1,1,0,0,0,0,4.82988745476e-13,5.41734567388e-13,6.73800211429e-09,0.0144838671592,0.0449483254686,0,0,1,0,0,1,0,0,1,logs/llm-srbench/only_structure/no-llm/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[0.9909650654914138,-0.025401622457425475,1.9819283353708306,-1.1606224804505667e-06,2.3446686965468736e-07,0.9361853793999565,0.5081490965027273]",P**(1/3)*c0 + P**2*c1 + P*c2 + c3 + c4*sin(c5 + c6*t),1,1,1,1,1,1,1,1,1
BPG9,no-llm,only_structure,0,0,1,1,1,0,0,0,0,7.94204963071e-13,6.1508519446e-13,3.35331645868e-09,0.0168019876673,0.00517528808984,0,0,1,0,1,1,0,0,1,logs/llm-srbench/only_structure/no-llm/BPG9.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.0002680957092407081,0.10627188929988186,4.8846035091663165,-3.7324921967969897e-06,-0.012807699529351794,0.8734590678331096]",P**4*c0/(P*c1 + c2) + P**4*c3 + P**3*c4 + P**2*c5/(P*c1 + c2),1,1,1,1,1,1,1,1,1
