test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,gpt-5-2,degen_generator,1,1,1,1,1,1,1,1,1,1.5369428025e-13,1.31721557592e-13,1.53137499733e-09,0.016445895301,0.00736447548027,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.009844472039000428,0.9539968369116277,6.415615057697212e-08,0.33333437023468476,0.9539982840886521,-1.3956573358253904e-06,-7.0899289272578625e-09,-0.28560281026826634]",P**2*c0 + P*c1*exp(c2*t) + P**c3*c4*exp(c5*t) + c6*t**c7,1,1,1,1,1,1,1,1,1
BPG1,gpt-5-2,degen_generator,0,0,1,1,1,1,1,1,1,5.17281658688e-15,5.29441210449e-15,6.737057441e-13,1.13257543901e-07,1.14156355406e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[0.03197349924118701,0.3156057217104232,-0.054050781848286544,-2.7543183119997685e-05,-0.0026106032788697597,0.001524628985751943,0.12163086422644627,0.02628575315944572]",P*c0 + P*c1*exp(c2*t) + c3*exp(P*c4) + c5*log(c6 + c7/P),1,1,1,1,1,1,1,1,1
BPG2,gpt-5-2,degen_generator,0,0,0,1,1,1,1,1,1,2.73234967833e-08,2.5624795023e-08,4.76733117113e-08,0.121476209458,0.0526559140968,0,0,0,0,0,1,0,0,0,logs/llm-srbench/degen_generator/gpt-5-2/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.25693,0.72184,6.2832,3.1237e-08,8.381e-07,2.0223,114930.0,-0.030384,1e-06]",P*c0*sin(c1*t + c2) + c3*sqrt(t) + c4*log(P*c5 + 1) + c6*exp(c7*t)*log(P*c8 + 1),0,1,1,0,1,1,0,1,1
BPG3,gpt-5-2,degen_generator,0,0,0,0,0,0,0,0,0,1.9846627788e-12,2.69090087022e-12,0.173966047391,0.407388547339,0.356809409538,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_generator/gpt-5-2/BPG3.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.5822023520561099,108.78390905323124,1.7512899551606906e-09,1.1194487806656328,-7043.521723381575,1.0000187376834349,0.015564157462341814,1.582870989240598e-05]",P**2*c0 + P*c1 + c2*t**c3 + c4*log(P**c5*c6*exp(c7*t) + 1),0,0,0,0,0,0,0,0,0
BPG4,gpt-5-2,degen_generator,0,0,0,0,0,0,0,0,0,2.74971893357e-11,2.65430288435e-11,2.74877730566e-05,0.0544532787466,0.00691715327248,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.003559098941095379,0.34557972031450357,-1.9184583294878337,-0.033907978366053526,0.6195730300127354,3.1695141054655815,-0.21261874298046451,0.05514422831564549,-0.0003286235280261291,0.06093360769734103]",P**2*c0 + P*c1 + P**c2*c3*sin(c4*t + c5) + c6/(P**2*c7 + 1)**5 + c8 + c9/P**2,0,1,1,0,1,1,0,1,1
BPG5,gpt-5-2,degen_generator,1,1,1,1,1,1,1,1,1,1.8205766962e-13,1.53442180502e-13,3.06396575619e-09,0.0368242077733,0.0200378417646,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[-0.4747747225031476,43.37143137489693,5.758811122614849,22.567593370577637,22.56094535328809,2.7392521673949664,2.557914627956477]",P**3*c0/(P*c1 + c2) + P**2*c3/(P*c1 + c2) + P**2*c4/(P*c1 + c2) + P*c5/(P*c1 + c2) + P*c6/(P*c1 + c2),1,1,1,1,1,1,1,1,1
BPG6,gpt-5-2,degen_generator,1,1,1,1,1,1,1,1,1,1.90324557411e-15,6.14695544032e-15,4.49755530806e-09,0.00623675228129,0.00727028437453,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3,"[0.8578824013121644,-0.014550490203225063,-6708.383113357507,0.0010534728284900764]",P**(1/3)*c0 + P**2*c1 + c2*log(P*c3 + 1),1,1,1,1,1,1,1,1,1
BPG7,gpt-5-2,degen_generator,1,1,1,1,1,1,1,1,1,3.77063945753e-13,2.60428840595e-13,5.40501341409e-09,0.00598668999119,0.00447072659115,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.721355514843832,-0.008011208857317043,0.10845648581270108,-1.7234564111930072e-07,2.8082274092712277e-08,1.600011651459987,2.022122426286901,0.9978506169108208,0.23619395810589683,0.1723458459285286]",P**(1/3)*c0 + P**3*c1 + P**2*c2 + c3 + c4*sin(c5 + c6*log(c7*exp(P*c8 + c9*t) + 1)),1,1,1,1,1,1,1,1,1
BPG8,gpt-5-2,degen_generator,1,1,1,1,1,1,1,1,1,4.83004213148e-13,5.41705924134e-13,6.73826106266e-09,0.0144849093595,0.0450051761798,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[0.990964401120508,-0.025401622673218827,1.9819283739072795,2.923440731816687e-09,0.5088103304847582,0.9245770417868122]",P**(1/3)*c0 + P**2*c1 + P*c2 + P*c3*sin(c4*t + c5),1,1,1,1,1,1,1,1,1
BPG9,gpt-5-2,degen_generator,0,0,0,1,1,1,1,1,1,7.96383152106e-13,6.14719808017e-13,3.35192249009e-09,0.0166789670909,0.00515923463969,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG9.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-733.9797539770052,0.004833272779078535,1641.3415809159878,2.0212097121997563,0.03331621325153723,1641.3733023813902,-887679.9295917164,0.0028712321243168247]",P*c0*exp(P*c1) + P*c2 + P*c3*log(c4*Abs(P) + 1) + P*c5 + c6*log(P*c7 + 1),1,1,1,1,1,1,1,1,1
BPG10,gpt-5-2,degen_generator,1,1,1,1,1,1,1,1,1,1.78986869943e-15,2.07528407851e-15,4.0031775377e-14,8.90551837905e-08,1.01821585295e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG10.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[0.10100809890994687,0.0505040503003662,-4.0413057521282453e-10,4.999999170645422,1.647314517862411,0.0505040503036193]",P**(1/3)*c0 + P*c1 + P*c2*sin(c3 + c4*t) + P*c5,1,1,1,1,1,1,1,1,1
BPG11,gpt-5-2,degen_generator,1,1,1,1,1,1,1,1,1,7.74117620213e-14,8.31616410949e-14,7.64526889587e-09,0.00102135023763,1.22125056326e-05,0,1,1,1,1,1,0,1,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG11.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.712449638328927,-0.010339437333064612,0.7124493575856794,0.7124493669229871,-0.03459335779109866,1.975228111954764e-07,1.423018974417992,4.882754949577499,-3.8192376354427046e-07]",P**(1/3)*c0 + P**2*c1 + P*c2 + P*c3*exp(c4*t) + c5*sin(P*c6 + c7) + c8,1,1,1,1,1,1,1,1,1
BPG12,gpt-5-2,degen_generator,1,1,1,1,1,1,1,1,1,6.83629660445e-13,6.7239501791e-13,1.50519735854e-12,0.000195379856676,0.00063923786541,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG12.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.010666881563862403,0.7013915236098901,-0.8770002996281786,0.5671736062113483,1.5707963301057983,-2.440501524690561e-06,1.5227508599571686,4.135922074417465]",P**2*c0 + P*c1 + P*c2*cos(c3*t + c4) + c5*sin(P*c6 + c7),1,1,1,1,1,1,1,1,1
BPG13,gpt-5-2,degen_generator,0,0,0,0,0,0,0,0,0,7.11940687986e-13,6.99087631284e-13,1.59520426475e-08,0.0161147874679,0.0225997227625,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG13.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.0034862182974523055,0.05532294645260281,0.20108165105123846,-3.996956802299386e-05,0.0026133119901552222,0.005877296229875987,1.4077643608368038,2.3315479554949334,-0.022482199602346473,-0.02318024092782361]",P**3*c0 + P**2*c1 + P*c2 + c3 + c4/P**3 + c5*sin(c6*t + c7)/P**5 + c8*exp(c9*t)/P**5,1,1,1,1,1,1,1,1,1
BPG14,gpt-5-2,degen_generator,1,1,1,1,1,1,1,1,1,4.06374209029e-14,3.61900805024e-14,1.56462204838e-08,0.000472175516604,2.70403172522e-05,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG14.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.11423895246711917,-0.08368365992416912,-0.11423896976344702,-0.0836836250793787,-2.830268411791085e-10,-9.619763945569076,1.0,-0.002806985641085685,0.22847799156337106]",P*c0*exp(c1*t) + P*c2*exp(P*c3) + P*c4*(c5 + t)**c6 + c7*Abs(P)**2 + c8*Abs(P),1,1,1,1,1,1,1,1,1
BPG15,gpt-5-2,degen_generator,1,1,1,1,1,1,1,1,1,2.12804844399e-14,2.0907993774e-14,9.29316602954e-13,1.99685159833e-07,1.2365681319e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG15.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[0.4866911406234551,0.4866911334838016,-0.0857740213507288,-3.684222816203076e-08,2.0640558684870087,0.7137668777841683,0.15610877586650282,4.429381784777528]",P**(1/3)*c0 + P*c1*exp(c2*t) + c3*sin(c4*log(c5*exp(c6*t) + 1) + c7),1,1,1,1,1,1,1,1,1
BPG16,gpt-5-2,degen_generator,0,1,1,1,1,1,1,1,1,1.77279526598e-12,2.84411690082e-12,4.70835250088e-09,0.0397064096731,0.016010996503,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_generator/gpt-5-2/BPG16.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[0.8677806778309693,-0.010098441542137222,0.20442263481270875,4.999998230980741,5.010515652047394e-14,-0.061743989191502216]",P**(1/3)*c0 + P**3*c1 + P**2*c2 + P**c3*c4*exp(c5*t),1,1,1,1,1,1,1,1,1
