test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,gpt-5-2,degen_selector1,1,1,1,1,1,1,1,1,1,1.53841670257e-13,1.32018302009e-13,1.51546148545e-09,0.0166487126036,0.00718592514432,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.0049222282902209365,-0.004922242703412053,0.3179989984308803,0.31799899843007073,0.31799899843007073,1.4791889770883706,1.930700838629476,-0.6666666784733931,7.017867986937637e-11,0.09047155493760278]",P**2*c0 + P**2*c1 + P*c2 + P*c3 + P*c4 + P*c5*(P*c6)**c7 + c8*exp(P*c9),1,1,1,1,1,1,1,1,1
BPG1,gpt-5-2,degen_selector1,1,1,1,1,1,1,1,1,1,5.17005382251e-15,5.27862895739e-15,6.81521691764e-13,1.12275922879e-07,1.17113929389e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.015987712862614273,0.10130848382059932,0.015985781523319927,0.3156057015402507,-0.054050748192612935,0.031973539678035165,1.187689042558325e-10,0.14154623705923688,0.4826278185488011]",P**2*c0/(P + c1) + P**2*c2/(P + c1) + P**2*c3*exp(c4*t)/(P + c1) + P*c5*exp(c4*t)/(P + c1) + c6*exp(c7*t)*cos(c8*t),1,1,1,1,1,1,1,1,1
BPG2,gpt-5-2,degen_selector1,0,1,1,1,1,1,1,1,1,6.21107774023e-13,5.08201050386e-13,6.71386673634e-13,0.00140747388231,3.43990016841e-05,0,1,1,1,1,1,0,1,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.25692978514387954,0.7218439676481138,3.141591983622457,5.828349570978374e-07,3.0766435511973887e-07,114921.27254381242,-0.030384326411715738,1.0000615912900184e-06]",P*c0*sin(c1*t + c2) + c3 + c4*t**(1/3) + c5*exp(c6*t)*log(c7*Abs(P) + 1),1,1,1,1,1,1,1,1,1
BPG3,gpt-5-2,degen_selector1,0,0,0,0,0,0,0,0,0,1.00830270681e-12,1.5125550484e-12,0.0921044829538,0.860704446495,0.350009449029,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_selector1/gpt-5-2/BPG3.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[3.9115000087252367,18.76062473482134,-52.452342477329715,1.261008223145543,0.07700802082271797,0.36577154699192543,-1.7195300019231164e-07,0.37266808007547353,-0.0004157269600375264]",P*c0 + c1 + c2*sin(c3*log(c4*Abs(P) + 1) + c5) + c6*Abs(P)**c7/(c8 + Abs(P)**c7),0,0,0,0,0,0,0,0,0
BPG4,gpt-5-2,degen_selector1,0,0,0,0,0,0,0,0,0,1.13338531717e-10,1.05183681677e-10,4.85503331644e-06,0.0338900409048,0.00273629720803,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.0035590800799655074,-0.540686807290076,0.886263203804518,-0.11727128638861012,0.04734989044184435,-1.9355444554140717,-0.00017962235905524622,0.23460366093292612,2.7590003847540823,2.0451288810786674]",P**2*c0 + P*c1 + P*c2 + c3*(P**3*c4 + 1)**c5 + c6 + c7/((P*c8)**c9 + 1),1,1,1,0,1,1,0,1,1
BPG5,gpt-5-2,degen_selector1,1,1,1,1,1,1,1,1,1,1.81896334018e-13,1.53257852505e-13,3.06848274042e-09,0.0369330121306,0.0199799583456,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.010946715566989873,0.34732216924375053,-0.12155317905451368,7.5122260657189255,0.3473221692454334,0.3473221692454334,2.091998867669373e-07,1.6715021890131165,1.2350728281168306,-3.5627651981377235e-05]",P**2*c0 + P*c1 + P*c2/(P*c3 + 1) + P*c4 + P*c5 + c6*sin(P*c7 + c8) + c9,1,1,1,1,1,1,1,1,1
BPG6,gpt-5-2,degen_selector1,0,0,0,1,1,1,1,1,1,1.09520878651e-15,6.0422920953e-15,4.50271638362e-09,0.00664592435892,0.00749315432866,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.01083102257834207,-3.104898934986273,-3.9622005734470322,1.2585133181861672,-0.666666385409994,-6.85944947323137e-08,1.0056356552527626,3.4858791222208247,4.997966838669158]",P**2*c0 + P*c1 + P*c2 + P*(c3*Abs(P))**c4 + c5*sin(c6*exp(c7*Abs(P)) + c8),1,1,1,1,1,1,1,1,1
BPG7,gpt-5-2,degen_selector1,1,1,1,1,1,1,1,1,1,3.76805492461e-13,2.6150572365e-13,5.41997547864e-09,0.00596812075071,0.00463512751565,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[0.7213554734630276,-0.00801120898828633,0.05421120098848211,0.05424528705762283,-1.3930572045087705e-07,5.2941623192698355e-08,0.27582318445603304,1.059449239192138]",P**(1/3)*c0 + P**3*c1 + P**2*c2 + P**2*c3 + c4 + c5*cos(P*c6)*cos(c7*t),1,1,1,1,1,1,1,1,1
BPG8,gpt-5-2,degen_selector1,1,1,1,1,1,1,1,1,1,4.83006222873e-13,5.41674956661e-13,6.74059276016e-09,0.0144754313046,0.0451783493867,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[0.9909644069910458,-0.025401622659625082,0.9909641862655818,0.9909641862375693,2.9272283425426156e-09,0.5123180290623893,0.8250046957656071]",P**(1/3)*c0 + P**2*c1 + P*c2 + P*c3 + P*c4*sin(c5*t + c6),1,1,1,1,1,1,1,1,1
BPG9,gpt-5-2,degen_selector1,0,0,0,0,0,0,0,0,0,7.90849346529e-13,6.12332375194e-13,3.36751793383e-09,0.0154205822929,0.00518758845294,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG9.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[24.128116434017986,-11.331411626447812,0.011855934123034671,-2437.668606850423,0.00982467389236812,1.69366069549232e-06,-3.0295227821392753e-09,2.0359622619471147,4.999999976784322,-8.297180859404182e-07]",P**2*c0 + P**2*c1*log(P*c2 + 1) + P*c3*log(c4*Abs(P) + 1) + P*c5 + P*c6*sin(c7*t + c8) + c9,1,1,1,1,1,1,1,1,1
BPG10,gpt-5-2,degen_selector1,1,1,1,1,1,1,1,1,1,1.78986456916e-15,2.07550933218e-15,4.0049241458e-14,8.89346482233e-08,1.01898859832e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG10.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[-0.6666666736904068,0.101008101018503,0.10100810064436054,-4.026240619279864e-10,1.648514899933258,4.937567159392695]",P*P**c0*c1 + P*c2 + P*c3*sin(c4*t + c5),1,1,1,1,1,1,1,1,1
BPG11,gpt-5-2,degen_selector1,1,1,1,1,1,1,1,1,1,7.7498559605e-14,8.28121190513e-14,7.68808889084e-09,0.000841701760928,1.19902299757e-05,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_selector1/gpt-5-2/BPG11.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.7124493715893195,-0.0037617799609955915,-0.00657765743897237,0.35622467801623847,0.7124493691320531,-0.03459335766279724,0.35622469306387355,-1.6280697489881506e-09,1.8650978417047488,4.951392142089296]",P**(1/3)*c0 + P**2*c1 + P**2*c2 + P*c3 + P*c4*exp(c5*t) + P*c6 + P*c7*sin(c8*t + c9),1,1,1,1,1,1,1,1,1
